Run,PTEV,PTES,NumSlots,NumAttributes,Time,ChunkV,Traumatic,ChunkSimilarity,BLL,IMAGINAL-ACTIVATION
29.0,1.0,0.0,6.0,6.0,157200.,.6625,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,156000.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,154800.,.5698,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,153600.,.6003,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,152400.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,151200.,.5698,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,150000.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,148800.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,147600.,.3709,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,146400.,.0771,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,145200.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,144000.,.3741,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,142800.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,141600.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,140400.,-.037,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,139200.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,138000.,.5698,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,136800.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,135600.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,134400.,.5698,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,133200.,.3709,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,132000.,.6207,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,130800.,.3709,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,129600.,.5698,0.0,.6667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,128400.,.5698,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,127200.,.5698,0.0,.8333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,126000.,.5698,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,124800.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,123600.,.5517,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,122400.,.3709,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,121200.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,120000.,.5207,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,118800.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,117600.,.6625,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,116400.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,115200.,.4492,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,114000.,.3709,0.0,.6667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,112800.,0.656,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,111600.,.3709,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,110400.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,109200.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,108000.,.5698,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,106800.,.6566,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,105600.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,104400.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,103200.,.1486,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,102000.,.6625,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,100800.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,99600.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,98400.,.6674,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,97200.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,96000.,.5698,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,94800.,.3741,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,93600.,.5698,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,92400.,.5207,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,91200.,.6625,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,90000.,.4492,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,88800.,.3709,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,87600.,.5698,0.0,.6667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,86400.,.6674,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,85200.,.3709,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,84000.,.4492,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,82800.,-.703,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,81600.,.5698,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,80400.,.3709,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,79200.,-.683,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,78000.,.5207,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,76800.,.1486,0.0,.6667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,75600.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,74400.,.6625,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,73200.,-0.34,0.0,.8333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,72000.,.3709,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,70800.,.1225,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,69600.,.0771,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,68400.,.6625,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,67200.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,66000.,.6625,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,64800.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,63600.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,62400.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,61200.,0.656,0.0,.6667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,60000.,.3709,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,58800.,.6003,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,57600.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,56400.,.6207,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,55200.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,54000.,-.703,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,52800.,.6625,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,51600.,.5207,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,50400.,.3709,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,49200.,.6625,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,48000.,.6566,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,46800.,.6625,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,45600.,.3709,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,44400.,.3709,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,43200.,.5207,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,42000.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,40800.,.0126,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,39600.,.1486,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,38400.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,37200.,.5207,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,36000.,.6003,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,34800.,.3709,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,33600.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,32400.,-.229,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,31200.,.5207,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,30000.,.5207,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,28800.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,27600.,.3709,0.0,.6667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,26400.,.3709,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,25200.,.3709,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,24000.,.3709,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,22800.,.6207,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,21600.,.3709,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,20400.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,19200.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,18000.,.3709,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,16800.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,15600.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,14400.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,13200.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,12000.,-.303,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,10800.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,9600.,.3709,0.0,.1667,0.3,5.0
29.0,1.0,0.0,6.0,6.0,8400.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,7200.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,6000.,.3709,0.0,.3333,0.3,5.0
29.0,1.0,0.0,6.0,6.0,4801.,.3709,0.0,0.0,0.3,5.0
29.0,1.0,0.0,6.0,6.0,3600.,.3709,0.0,0.5,0.3,5.0
29.0,1.0,0.0,6.0,6.0,1.1,0.0,0.0,0.0,0.3,5.0
28.0,1.0,0.0,6.0,6.0,199200.,.6118,0.0,0.5,0.3,5.0
28.0,1.0,0.0,6.0,6.0,198000.,.6591,0.0,.1667,0.3,5.0
28.0,1.0,0.0,6.0,6.0,196800.,.0206,0.0,0.5,0.3,5.0
28.0,1.0,0.0,6.0,6.0,195600.,.1144,0.0,.1667,0.3,5.0
28.0,1.0,0.0,6.0,6.0,194400.,.4998,0.0,0.5,0.3,5.0
