Run, PTEV, PTES, NumSlots, NumAttributes, Time, ChunkV, ChunkSimilarity
  0.0,   1.0,   0.0,   6.0,   6.0, 11504161., .6678,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11504040., .3393,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11503561., .5718,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11501041., .6088,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11499901., 0.686,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11494381., .1688,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11466540., .6562,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11465700., .6562,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11432220., .5718,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11429220., .6515,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11428740., -.263,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11428320., .4705,   0.0, .6667
  0.0,   1.0,   0.0,   6.0,   6.0, 11427840., .6787,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11411940., .4775,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11411460., 0.171,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11352840., .3373,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11351940., .4775,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11347680., .6748,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11346241., .6217,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11332081., .5718,   0.0,   0.0
  0.0,   1.0,   0.0,   6.0,   6.0, 11330881., .0424,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11322361., .3247,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11300161., .6515,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11264161., .6907,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11262601., .5063,   0.0, .6667
  0.0,   1.0,   0.0,   6.0,   6.0, 11255940., .6857,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11250780., .5646,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11248681., .6112,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11243580., .5981,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11196120., .4705,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11185920., .6515,   0.0, .8333
  0.0,   1.0,   0.0,   6.0,   6.0, 11179320., .1384,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11162760., .6112,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11158800., .6562,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11155621., .5644,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11150701., .0594,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11150401., .2532,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11149381., .5136,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11085840., .6112,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11083860., .4775,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11082900., .5981,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11081400., .4705,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11080441., .6562,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11080080., .6112,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11079361., .5361,   0.0,   0.0
  0.0,   1.0,   0.0,   6.0,   6.0, 11079060., .6857,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11078460., .4705,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11074260., .6562,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11070661., .4034,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11069521., .5718,   0.0,   0.0
  0.0,   1.0,   0.0,   6.0,   6.0, 11061901., .6515,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11043660., .5718,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11036101., 0.247,   0.0,   0.0
  0.0,   1.0,   0.0,   6.0,   6.0, 11005200., -.258,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 10987260., .6494,   0.0,   0.0
  0.0,   1.0,   0.0,   6.0,   6.0, 10985161., .4756,   0.0, .1667
